"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"190115","occ","7315","","18990","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"190155","occ","","","19000","Cupidinimus","genus","41676","Miocene","","23.03","5.333","1152"
"190157","occ","","","19000","Lignimus","genus","41682","Miocene","","23.03","5.333","1152"
"190193","occ","7344","","19011","Peridiomys oregonensis","species","45852","Barstovian","","15.97","13.6","6294"
"190217","occ","","","19013","Heteromyidae","family","41673","Barstovian","","15.97","13.6","2653"
"190277","occ","7381","","19017","Peridiomys oregonensis","species","45852","Barstovian","","15.97","13.6","6294"
"190315","occ","","","19025","Heteromyidae","family","41673","Miocene","","23.03","5.333","1393"
"190453","occ","7448","","19056","Peridiomys oregonensis","species","45852","Barstovian","","15.97","13.6","6294"
"190516","occ","","","19073","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2634"
"190517","occ","","","19073","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190553","occ","","","19074","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2634"
"190554","occ","","","19074","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190583","occ","","","19075","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2634"
"190584","occ","","","19075","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190585","occ","","","19075","Harrymys woodi","species","45738","Hemingfordian","","20.43","15.97","2634"
"190613","occ","","","19076","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190614","occ","","","19076","Harrymys woodi","species","45738","Hemingfordian","","20.43","15.97","2634"
"190655","occ","","","19079","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190699","occ","","","19085","Oregonomys pebblespringsensis","species","49377","Hemphillian","","10.3","4.9","1052"
"190738","occ","7551","","19088","Cupidinimus","genus","41676","Barstovian","","15.97","13.6","6294"
"190787","occ","","","19095","Diprionomys parvus","species","45853","Hemphillian","","10.3","4.9","3234"
"190788","occ","7572","","19095","Cupidinimus magnus","species","45850","Hemphillian","","10.3","4.9","6294"
"190901","occ","","","19116","Perognathus stevei","species","50226","Hemphillian","","10.3","4.9","2411"
"190902","occ","","","19116","Oregonomys pebblespringsensis","species","49377","Hemphillian","","10.3","4.9","2411"
"190952","occ","7636","","19139","Mookomys subtilis","species","48812","Barstovian","","15.97","13.6","6294"
"190953","occ","","","19139","Proheteromys sulculus","species","50785","Barstovian","","15.97","13.6","2881"
"190954","occ","","","19139","Cupidinimus boronensis","species","45387","Barstovian","","15.97","13.6","2881"
"190962","occ","","","19141","Proheteromys sulculus","species","50785","Barstovian","","15.97","13.6","2881"
"190963","occ","","","19141","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2881"
"190964","occ","","","19141","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2881"
"190965","occ","","","19141","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2881"
"190966","occ","","","19141","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","2881"
"190967","occ","7641","","19141","Peridiomys oregonensis","species","45852","Barstovian","","15.97","13.6","6294"
"190969","occ","","","19141","Diprionomys parvus","species","45853","Barstovian","","15.97","13.6","2881"
"190986","occ","","","19145","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3628"
"190987","occ","","","19145","Perognathus","genus","41688","Clarendonian","","13.6","10.3","3628"
"190988","occ","7647","","19145","Cupidinimus avawatzensis","species","45385","Clarendonian","","13.6","10.3","1018"
"190989","occ","","","19145","Cupidinimus","genus","41676","Clarendonian","","13.6","10.3","3628"
"191043","occ","7672","","19170","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191050","occ","","","19173","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191051","occ","","","19173","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191052","occ","7674","","19173","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191055","occ","7676","","19174","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191056","occ","7677","","19174","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
