Species	Status	min_age	max_age
Dipodomys	extinct	0.3	1.8
Dipodomys_compactus	extinct	0.3	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys_ordii	extant	0.012	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys	extinct	0.3	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys_pattersoni	extinct	0.3	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys_ordii	extant	0.3	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Prodipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Prodipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Prodipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Prodipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Prodipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys_ordii	extant	0.3	1.8
Dipodomys	extinct	0.3	4.9
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys_gidleyi	extinct	0.3	1.8
Dipodomys_gidleyi	extinct	0.3	1.8
Dipodomys_ordii	extant	0.126	0.781
Dipodomys	extinct	0.3	1.8
Prodipodomys_idahoensis	extinct	0.3	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Chaetodipus_hispidus	extant	0.3	1.8
Dipodomys	extinct	0.3	1.8
Perognathus_gidleyi	extinct	0.3	1.8
Perognathus_pearlettensis	extinct	0.3	1.8
Prodipodomys_idahoensis	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
Dipodomys	extinct	0.3	1.8
